state,date,value
CT,2004-01-01,9.1
CT,2005-01-01,8.3
CT,2006-01-01,8.3
CT,2007-01-01,7.9
CT,2008-01-01,9.1
CT,2009-01-01,9.3
CT,2010-01-01,10.1
CT,2011-01-01,10.8
CT,2012-01-01,10.6
CT,2013-01-01,10.7
CT,2014-01-01,10.8
CT,2015-01-01,10.6
CT,2016-01-01,9.9
CT,2017-01-01,9.7
CT,2018-01-01,10.3
CT,2019-01-01,9.9
CT,2020-01-01,9.7
CT,2021-01-01,10.1
CT,2022-01-01,9.8
CT,2023-01-01,10.2
CT,2024-01-01,10.1
DE,1989-01-01,9.4
DE,1990-01-01,
DE,1991-01-01,
DE,1992-01-01,
DE,1993-01-01,11.1
DE,1994-01-01,
DE,1995-01-01,9.7
DE,1996-01-01,9.8
DE,1997-01-01,10.0
DE,1998-01-01,9.7
DE,1999-01-01,9.4
DE,2000-01-01,8.7
DE,2001-01-01,8.4
DE,2002-01-01,9.3
DE,2003-01-01,9.0
DE,2004-01-01,9.6
DE,2005-01-01,10.3
DE,2006-01-01,10.7
DE,2007-01-01,10.3
DE,2008-01-01,10.3
DE,2009-01-01,11.2
DE,2010-01-01,11.9
DE,2011-01-01,12.6
DE,2012-01-01,12.7
DE,2013-01-01,12.9
DE,2014-01-01,13.0
DE,2015-01-01,12.6
DE,2016-01-01,11.8
DE,2017-01-01,13.0
DE,2018-01-01,12.2
DE,2019-01-01,11.2
DE,2020-01-01,10.9
DE,2021-01-01,11.5
DE,2022-01-01,10.0
DE,2023-01-01,10.8
DE,2024-01-01,10.1
FL,1989-01-01,12.9
FL,1990-01-01,
FL,1991-01-01,
FL,1992-01-01,
FL,1993-01-01,16.0
FL,1994-01-01,
FL,1995-01-01,15.2
FL,1996-01-01,14.2
FL,1997-01-01,14.4
FL,1998-01-01,13.6
FL,1999-01-01,12.4
FL,2000-01-01,11.7
FL,2001-01-01,12.6
FL,2002-01-01,12.8
FL,2003-01-01,13.0
FL,2004-01-01,11.9
FL,2005-01-01,12.8
FL,2006-01-01,12.6
FL,2007-01-01,12.1
FL,2008-01-01,13.3
FL,2009-01-01,15.0
FL,2010-01-01,16.5
FL,2011-01-01,17.0
FL,2012-01-01,17.2
FL,2013-01-01,17.1
FL,2014-01-01,16.6
FL,2015-01-01,15.8
FL,2016-01-01,14.8
FL,2017-01-01,14.1
FL,2018-01-01,13.7
FL,2019-01-01,12.7
FL,2020-01-01,12.4
FL,2021-01-01,13.2
FL,2022-01-01,12.7
FL,2023-01-01,12.4
FL,2024-01-01,12.1
GA,1989-01-01,14.9
GA,1990-01-01,
GA,1991-01-01,
GA,1992-01-01,
GA,1993-01-01,16.8
GA,1994-01-01,
GA,1995-01-01,15.6
GA,1996-01-01,15.3
GA,1997-01-01,14.7
GA,1998-01-01,14.1
GA,1999-01-01,12.7
GA,2000-01-01,12.3
GA,2001-01-01,12.7
GA,2002-01-01,13.0
GA,2003-01-01,13.4
GA,2004-01-01,13.7
GA,2005-01-01,14.5
GA,2006-01-01,14.8
GA,2007-01-01,14.3
GA,2008-01-01,14.7
GA,2009-01-01,16.6
GA,2010-01-01,18.0
GA,2011-01-01,19.2
GA,2012-01-01,19.2
GA,2013-01-01,19.0
GA,2014-01-01,18.4
GA,2015-01-01,17.2
GA,2016-01-01,16.1
GA,2017-01-01,15.1
GA,2018-01-01,14.5
GA,2019-01-01,13.5
GA,2020-01-01,14.0
GA,2021-01-01,14.2
GA,2022-01-01,12.9
GA,2023-01-01,13.7
GA,2024-01-01,12.8
HI,1989-01-01,9.4
HI,1990-01-01,
HI,1991-01-01,
HI,1992-01-01,
HI,1993-01-01,9.6
HI,1994-01-01,
HI,1995-01-01,9.9
HI,1996-01-01,11.7
HI,1997-01-01,11.1
HI,1998-01-01,10.5
HI,1999-01-01,10.5
HI,2000-01-01,9.9
HI,2001-01-01,10.4
HI,2002-01-01,11.0
HI,2003-01-01,10.8
HI,2004-01-01,9.0
HI,2005-01-01,9.9
HI,2006-01-01,9.4
HI,2007-01-01,8.5
HI,2008-01-01,9.3
HI,2009-01-01,10.4
HI,2010-01-01,11.1
HI,2011-01-01,12.1
HI,2012-01-01,11.8
HI,2013-01-01,11.2
HI,2014-01-01,11.5
HI,2015-01-01,10.7
HI,2016-01-01,9.5
HI,2017-01-01,9.5
HI,2018-01-01,9.0
HI,2019-01-01,9.0
HI,2020-01-01,8.9
HI,2021-01-01,10.9
HI,2022-01-01,10.0
HI,2023-01-01,10.2
HI,2024-01-01,10.0
ID,1989-01-01,13.5
ID,1990-01-01,
ID,1991-01-01,
ID,1992-01-01,
ID,1993-01-01,12.5
ID,1994-01-01,
ID,1995-01-01,12.6
ID,1996-01-01,11.9
ID,1997-01-01,13.0
ID,1998-01-01,12.6
ID,1999-01-01,12.1
ID,2000-01-01,11.2
ID,2001-01-01,11.5
ID,2002-01-01,11.7
ID,2003-01-01,11.7
ID,2004-01-01,11.5
ID,2005-01-01,13.4
ID,2006-01-01,12.8
ID,2007-01-01,12.1
ID,2008-01-01,12.5
ID,2009-01-01,14.4
ID,2010-01-01,15.8
ID,2011-01-01,16.5
ID,2012-01-01,16.0
ID,2013-01-01,15.6
ID,2014-01-01,14.8
ID,2015-01-01,14.7
ID,2016-01-01,13.8
ID,2017-01-01,12.6
ID,2018-01-01,11.7
ID,2019-01-01,11.0
ID,2020-01-01,10.1
ID,2021-01-01,10.8
ID,2022-01-01,10.5
ID,2023-01-01,10.1
ID,2024-01-01,10.4
IL,1989-01-01,11.9
IL,1990-01-01,
IL,1991-01-01,
IL,1992-01-01,
IL,1993-01-01,13.4
IL,1994-01-01,
IL,1995-01-01,11.3
IL,1996-01-01,12.0
IL,1997-01-01,11.3
IL,1998-01-01,10.6
IL,1999-01-01,10.1
IL,2000-01-01,10.0
IL,2001-01-01,10.1
IL,2002-01-01,11.3
IL,2003-01-01,11.4
IL,2004-01-01,11.9
IL,2005-01-01,12.0
IL,2006-01-01,12.3
IL,2007-01-01,11.9
IL,2008-01-01,12.2
IL,2009-01-01,13.3
IL,2010-01-01,13.8
IL,2011-01-01,14.9
IL,2012-01-01,14.7
IL,2013-01-01,14.6
IL,2014-01-01,14.3
IL,2015-01-01,13.6
IL,2016-01-01,13.0
IL,2017-01-01,12.5
IL,2018-01-01,12.1
IL,2019-01-01,11.4
IL,2020-01-01,11.0
IL,2021-01-01,12.1
IL,2022-01-01,11.9
IL,2023-01-01,11.6
IL,2024-01-01,11.5
IN,1989-01-01,10.3
IN,1990-01-01,
IN,1991-01-01,
IN,1992-01-01,
IN,1993-01-01,11.9
IN,1994-01-01,
IN,1995-01-01,9.8
IN,1996-01-01,9.3
IN,1997-01-01,9.9
IN,1998-01-01,10.0
IN,1999-01-01,8.7
IN,2000-01-01,8.8
IN,2001-01-01,9.0
IN,2002-01-01,9.6
IN,2003-01-01,10.0
IN,2004-01-01,11.1
IN,2005-01-01,12.2
IN,2006-01-01,12.5
IN,2007-01-01,12.3
IN,2008-01-01,12.9
IN,2009-01-01,14.4
IN,2010-01-01,15.3
