state,year,effective_min_wage
TX,1980,3.1
TX,1981,3.35
TX,1982,3.35
TX,1983,3.35
TX,1984,3.35
TX,1985,3.35
TX,1986,3.35
TX,1987,3.35
TX,1988,3.35
TX,1989,3.35
TX,1990,3.8
TX,1991,4.25
TX,1992,4.25
TX,1993,4.25
TX,1994,4.25
TX,1995,4.25
TX,1996,4.75
TX,1997,5.15
TX,1998,5.15
TX,1999,5.15
TX,2000,5.15
TX,2001,5.15
TX,2002,5.15
TX,2003,5.15
TX,2004,5.15
TX,2005,5.15
TX,2006,5.15
TX,2007,5.85
TX,2008,6.55
TX,2009,7.25
TX,2010,7.25
TX,2011,7.25
TX,2012,7.25
TX,2013,7.25
TX,2014,7.25
TX,2015,7.25
TX,2016,7.25
TX,2017,7.25
TX,2018,7.25
TX,2019,7.25
TX,2020,7.25
TX,2021,7.25
TX,2022,7.25
TX,2023,7.25
TX,2024,7.25
TX,2025,7.25
TX,2026,7.25
UT,1968,1.6
UT,1969,1.6
UT,1970,1.6
UT,1971,1.6
UT,1972,1.6
UT,1973,1.6
UT,1974,2.0
UT,1975,2.1
UT,1976,2.3
UT,1977,2.3
UT,1978,2.65
UT,1979,2.9
UT,1980,3.1
UT,1981,3.35
UT,1982,3.35
UT,1983,3.35
UT,1984,3.35
UT,1985,3.35
UT,1986,3.35
UT,1987,3.35
UT,1988,3.35
UT,1989,3.35
UT,1990,3.8
UT,1991,4.25
UT,1992,4.25
UT,1993,4.25
UT,1994,4.25
UT,1995,4.25
UT,1996,4.75
UT,1997,5.15
UT,1998,5.15
UT,1999,5.15
UT,2000,5.15
UT,2001,5.15
UT,2002,5.15
UT,2003,5.15
UT,2004,5.15
UT,2005,5.15
UT,2006,5.15
UT,2007,5.85
UT,2008,6.55
UT,2009,7.25
UT,2010,7.25
UT,2011,7.25
UT,2012,7.25
UT,2013,7.25
UT,2014,7.25
UT,2015,7.25
UT,2016,7.25
UT,2017,7.25
UT,2018,7.25
UT,2019,7.25
UT,2020,7.25
UT,2021,7.25
UT,2022,7.25
UT,2023,7.25
UT,2024,7.25
UT,2025,7.25
UT,2026,7.25
VA,1968,1.6
VA,1969,1.6
VA,1970,1.6
VA,1971,1.6
VA,1972,1.6
VA,1973,1.6
VA,1974,2.0
VA,1975,2.1
VA,1976,2.3
VA,1977,2.3
VA,1978,2.65
VA,1979,2.9
VA,1980,3.1
VA,1981,3.35
VA,1982,3.35
VA,1983,3.35
VA,1984,3.35
VA,1985,3.35
VA,1986,3.35
VA,1987,3.35
VA,1988,3.35
VA,1989,3.35
VA,1990,3.8
VA,1991,4.25
VA,1992,4.25
VA,1993,4.25
VA,1994,4.25
VA,1995,4.25
VA,1996,4.75
VA,1997,5.15
VA,1998,5.15
VA,1999,5.15
VA,2000,5.15
VA,2001,5.15
VA,2002,5.15
VA,2003,5.15
VA,2004,5.15
VA,2005,5.15
VA,2006,5.15
VA,2007,5.85
VA,2008,6.55
VA,2009,7.25
VA,2010,7.25
VA,2011,7.25
VA,2012,7.25
VA,2013,7.25
VA,2014,7.25
VA,2015,7.25
VA,2016,7.25
VA,2017,7.25
VA,2018,7.25
VA,2019,7.25
VA,2020,7.25
VA,2021,9.5
VA,2022,11.0
VA,2023,12.0
VA,2024,12.0
VA,2025,12.41
VA,2026,12.77
VT,1968,1.6
VT,1969,1.6
VT,1970,1.6
VT,1971,1.6
VT,1972,1.6
VT,1973,1.6
VT,1974,2.0
VT,1975,2.1
VT,1976,2.3
VT,1977,2.3
VT,1978,2.65
VT,1979,2.9
VT,1980,3.1
VT,1981,3.35
VT,1982,3.35
VT,1983,3.35
VT,1984,3.35
VT,1985,3.35
VT,1986,3.35
VT,1987,3.35
VT,1988,3.55
VT,1989,3.55
VT,1990,3.8
VT,1991,4.25
VT,1992,4.25
VT,1993,4.25
VT,1994,4.25
VT,1995,4.25
VT,1996,4.75
VT,1997,5.15
VT,1998,5.25
VT,1999,5.25
VT,2000,5.75
VT,2001,6.25
VT,2002,6.25
VT,2003,6.25
VT,2004,6.75
VT,2005,7.0
VT,2006,7.25
VT,2007,7.53
VT,2008,7.68
VT,2009,8.06
VT,2010,8.06
VT,2011,8.15
VT,2012,8.46
VT,2013,8.6
VT,2014,8.73
VT,2015,9.15
VT,2016,9.6
VT,2017,10.0
VT,2018,10.5
VT,2019,10.78
VT,2020,10.96
VT,2021,11.75
VT,2022,12.55
VT,2023,13.18
VT,2024,13.67
VT,2025,14.01
VT,2026,14.42
WA,1968,1.6
WA,1969,1.6
WA,1970,1.6
WA,1971,1.6
WA,1972,1.6
WA,1973,1.6
WA,1974,2.0
WA,1975,2.1
WA,1976,2.3
WA,1977,2.3
WA,1978,2.65
WA,1979,2.9
WA,1980,3.1
WA,1981,3.35
WA,1982,3.35
WA,1983,3.35
WA,1984,3.35
WA,1985,3.35
WA,1986,3.35
WA,1987,3.35
WA,1988,3.35
WA,1989,3.35
WA,1990,3.8
WA,1991,4.25
WA,1992,4.25
WA,1993,4.25
WA,1994,4.25
WA,1995,4.25
WA,1996,4.9
WA,1997,5.15
WA,1998,5.15
WA,1999,5.15
WA,2000,6.5
WA,2001,6.72
WA,2002,6.9
WA,2003,7.01
WA,2004,7.16
WA,2005,7.35
WA,2006,7.63
WA,2007,7.93
WA,2008,8.07
WA,2009,8.55
WA,2010,8.55
WA,2011,8.67
WA,2012,9.04
WA,2013,9.19
WA,2014,9.32
WA,2015,9.47
WA,2016,9.47
WA,2017,11.0
WA,2018,11.5
WA,2019,12.0
WA,2020,13.5
WA,2021,13.69
WA,2022,14.49
WA,2023,15.74
WA,2024,16.28
WA,2025,16.66
WA,2026,17.13
WI,1968,1.6
WI,1969,1.6
WI,1970,1.6
WI,1971,1.6
WI,1972,1.6
WI,1973,1.6
WI,1974,2.0
WI,1975,2.1
WI,1976,2.3
WI,1977,2.3
WI,1978,2.65
WI,1979,2.9
WI,1980,3.1
WI,1981,3.35
WI,1982,3.35
WI,1983,3.35
WI,1984,3.35
WI,1985,3.35
WI,1986,3.35
WI,1987,3.35
WI,1988,3.35
WI,1989,3.35
WI,1990,3.8
WI,1991,4.25
WI,1992,4.25
WI,1993,4.25
WI,1994,4.25
WI,1995,4.25
WI,1996,4.75
WI,1997,5.15
WI,1998,5.15
WI,1999,5.15
WI,2000,5.15
WI,2001,5.15
WI,2002,5.15
WI,2003,5.15
WI,2004,5.15
WI,2005,5.15
WI,2006,5.7
WI,2007,6.5
WI,2008,6.55
WI,2009,7.25
WI,2010,7.25
WI,2011,7.25
WI,2012,7.25
WI,2013,7.25
WI,2014,7.25
WI,2015,7.25
WI,2016,7.25
WI,2017,7.25
WI,2018,7.25
WI,2019,7.25
WI,2020,7.25
WI,2021,7.25
WI,2022,7.25
WI,2023,7.25
WI,2024,7.25
WI,2025,7.25
WI,2026,7.25
WV,1968,1.6
WV,1969,1.6
WV,1970,1.6
WV,1971,1.6
WV,1972,1.6
WV,1973,1.6
WV,1974,2.0
WV,1975,2.1
WV,1976,2.3
WV,1977,2.3
WV,1978,2.65
WV,1979,2.9
WV,1980,3.1
WV,1981,3.35
WV,1982,3.35
WV,1983,3.35
WV,1984,3.35
WV,1985,3.35
WV,1986,3.35
WV,1987,3.35
WV,1988,3.35
WV,1989,3.35
WV,1990,3.8
WV,1991,4.25
WV,1992,4.25
WV,1993,4.25
WV,1994,4.25
WV,1995,4.25
WV,1996,4.75
WV,1997,5.15
WV,1998,5.15
WV,1999,5.15
WV,2000,5.15
WV,2001,5.15
WV,2002,5.15
WV,2003,5.15
WV,2004,5.15
WV,2005,5.15
WV,2006,5.15
WV,2007,5.85
WV,2008,6.55
WV,2009,7.25
WV,2010,7.25
WV,2011,7.25
WV,2012,7.25
WV,2013,7.25
WV,2014,7.25
WV,2015,8.0
WV,2016,8.75
WV,2017,8.75
WV,2018,8.75
WV,2019,8.75
WV,2020,8.75
WV,2021,8.75
WV,2022,8.75
WV,2023,8.75
WV,2024,8.75
WV,2025,8.75
WV,2026,8.75
WY,1968,1.6
WY,1969,1.6
WY,1970,1.6
WY,1971,1.6
WY,1972,1.6
WY,1973,1.6
WY,1974,2.0
WY,1975,2.1
WY,1976,2.3
WY,1977,2.3
WY,1978,2.65
WY,1979,2.9
WY,1980,3.1
WY,1981,3.35
WY,1982,3.35
WY,1983,3.35
WY,1984,3.35
WY,1985,3.35
WY,1986,3.35
WY,1987,3.35
WY,1988,3.35
WY,1989,3.35
WY,1990,3.8
WY,1991,4.25
WY,1992,4.25
WY,1993,4.25
WY,1994,4.25
WY,1995,4.25
WY,1996,4.75
WY,1997,5.15
WY,1998,5.15
WY,1999,5.15
WY,2000,5.15
WY,2001,5.15
WY,2002,5.15
WY,2003,5.15
WY,2004,5.15
WY,2005,5.15
WY,2006,5.15
WY,2007,5.85
WY,2008,6.55
WY,2009,7.25
WY,2010,7.25
WY,2011,7.25
WY,2012,7.25
WY,2013,7.25
WY,2014,7.25
WY,2015,7.25
WY,2016,7.25
WY,2017,7.25
WY,2018,7.25
WY,2019,7.25
WY,2020,7.25
WY,2021,7.25
WY,2022,7.25
WY,2023,7.25
WY,2024,7.25
WY,2025,7.25
WY,2026,7.25
